"PartID" "Trial" "Length" "VerbType" "Item" "Age" "Gender" "Distractor" "Subject" "Agent" "Patient" "LC" "LCC" "PC" "PCC"
"SPA_P11_L2R1" 2 "Short" "NPred" 8 22 "F" 1 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P11_L2R1" 3 "Long" "Pred" 2 22 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P11_L2R1" 4 "Long" "Pred" 9 22 "F" 0 1 0 0 0.5 0.5 0.5 0.5
"SPA_P11_L2R1" 5 "Short" "Pred" 6 22 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P11_L2R1" 6 "Short" "Pred" 3 22 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P11_L2R1" 7 "Long" "NPred" 11 22 "F" 0 0 1 0 0.5 0.5 -0.5 -0.5
"SPA_P11_L2R1" 8 "Short" "NPred" 15 22 "F" 1 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P11_L2R1" 9 "Short" "NPred" 5 22 "F" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P11_L2R1" 10 "Long" "NPred" 16 22 "F" 0 0 1 0 0.5 0.5 -0.5 -0.5
"SPA_P11_L2R1" 11 "Long" "Pred" 12 22 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P11_L2R1" 12 "Long" "NPred" 10 22 "F" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P12_L2R2" 1 "Short" "NPred" 8 29 "M" 0 0 0 1 -0.5 -0.5 -0.5 -0.5
"SPA_P12_L2R2" 2 "Short" "Pred" 7 29 "M" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P12_L2R2" 3 "Long" "Pred" 12 29 "M" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P12_L2R2" 4 "Long" "Pred" 2 29 "M" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P12_L2R2" 5 "Long" "NPred" 16 29 "M" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P12_L2R2" 6 "Long" "Pred" 9 29 "M" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P12_L2R2" 7 "Short" "NPred" 15 29 "M" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P12_L2R2" 8 "Long" "NPred" 10 29 "M" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P12_L2R2" 9 "Short" "Pred" 6 29 "M" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P12_L2R2" 10 "Long" "NPred" 11 29 "M" 0 0 1 0 0.5 0.5 -0.5 -0.5
"SPA_P12_L2R2" 11 "Short" "Pred" 3 29 "M" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P12_L2R2" 12 "Short" "NPred" 5 29 "M" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P13_L3R1" 1 "Short" "Pred" 2 21 "F" 0 1 0 0 -0.5 -0.5 0.5 0.5
"SPA_P13_L3R1" 2 "Short" "NPred" 10 21 "F" 0 1 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P13_L3R1" 3 "Short" "NPred" 11 21 "F" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P13_L3R1" 4 "Long" "Pred" 15 21 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P13_L3R1" 5 "Short" "NPred" 16 21 "F" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P13_L3R1" 6 "Long" "NPred" 6 21 "F" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P13_L3R1" 7 "Long" "Pred" 8 21 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P13_L3R1" 8 "Long" "NPred" 7 21 "F" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P13_L3R1" 9 "Long" "NPred" 3 21 "F" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P13_L3R1" 10 "Short" "Pred" 9 21 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P13_L3R1" 11 "Long" "Pred" 5 21 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P13_L3R1" 12 "Short" "Pred" 12 21 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P14_L3R2" 1 "Long" "Pred" 15 19 "M" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P14_L3R2" 2 "Short" "Pred" 12 19 "M" 0 0 0 1 -0.5 -0.5 0.5 0.5
