"PartID" "Trial" "VerbType" "Item" "Age" "Gender" "EV" "Distractor" "Subject" "Agent" "Patient" "PC" "PCC" "AC" "EVC"
"P12_LBR2_C" 5 "Pred" 16 55 "F" 22 0 0 1 0 0.5 0.515151515151515 4.55681818181818 -2.01136363636364
"P12_LBR2_C" 6 "Pred" 12 55 "F" 22 1 0 0 0 0.5 0.515151515151515 4.55681818181818 -2.01136363636364
"P12_LBR2_C" 7 "NPred" 2 55 "F" 22 0 0 0 0 -0.5 -0.484848484848485 4.55681818181818 -2.01136363636364
"P12_LBR2_C" 8 "Pred" 3 55 "F" 22 0 0 1 0 0.5 0.515151515151515 4.55681818181818 -2.01136363636364
"P12_LBR2_C" 9 "Pred" 6 55 "F" 22 0 0 0 1 0.5 0.515151515151515 4.55681818181818 -2.01136363636364
"P12_LBR2_C" 10 "NPred" 11 55 "F" 22 1 0 0 0 -0.5 -0.484848484848485 4.55681818181818 -2.01136363636364
"P12_LBR2_C" 11 "Pred" 10 55 "F" 22 0 0 1 0 0.5 0.515151515151515 4.55681818181818 -2.01136363636364
"P12_LBR2_C" 12 "NPred" 5 55 "F" 22 0 0 0 1 -0.5 -0.484848484848485 4.55681818181818 -2.01136363636364
"P13_LAR1_C" 1 "NPred" 8 48 "M" 26 0 1 0 0 -0.5 -0.484848484848485 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 2 "Pred" 15 48 "M" 26 0 1 0 0 0.5 0.515151515151515 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 3 "Pred" 2 48 "M" 26 0 0 1 0 0.5 0.515151515151515 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 4 "NPred" 10 48 "M" 26 1 1 0 0 -0.5 -0.484848484848485 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 5 "NPred" 16 48 "M" 26 1 0 0 0 -0.5 -0.484848484848485 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 6 "NPred" 6 48 "M" 26 0 0 0 0 -0.5 -0.484848484848485 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 7 "Pred" 9 48 "M" 26 0 0 0 1 0.5 0.515151515151515 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 8 "Pred" 5 48 "M" 26 0 0 1 0 0.5 0.515151515151515 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 9 "NPred" 3 48 "M" 26 0 0 0 1 -0.5 -0.484848484848485 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 10 "Pred" 11 48 "M" 26 0 0 0 0 0.5 0.515151515151515 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 11 "Pred" 7 48 "M" 26 0 0 0 0 0.5 0.515151515151515 -2.44318181818182 1.98863636363636
"P13_LAR1_C" 12 "NPred" 12 48 "M" 26 1 0 0 0 -0.5 -0.484848484848485 -2.44318181818182 1.98863636363636
"P14_LBR1_C" 1 "NPred" 2 46 "M" 30 0 0 0 0 -0.5 -0.484848484848485 -4.44318181818182 5.98863636363636
